app,bug_name,bug_path,clean_suite_valid,bug_activated,buggy_suite_passed,candidate_failure_count,behavior_aligned_failure_count,verdict,review_required,alignment_confidence,detecting_test_file,detecting_test_name,failure_message,nl_expectation,notes
prestashop,buyer_sort_products_by_name_a_to_z,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_name_a_to_z.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Name, A to Z', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_sort_products_by_name_z_to_a,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_name_z_to_a.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Name, Z to A', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_sort_products_by_price_high_to_low,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_price_high_to_low.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Price, high to low', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,buyer_sort_products_by_price_low_to_high,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/buyer_sort_products_by_price_low_to_high.js,True,False,False,0,0,not_activated,False,,,,,"The products are correctly sorted by 'Price, low to high', and must be extracted using a left-to-right zig-zag grid traversal (no need to get image)",failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,seller_backorder_order,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_backorder_order.js,True,False,False,0,0,not_activated,False,,,,,All status records on the page align with the update,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,seller_cancel_order,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_cancel_order.js,True,False,False,0,0,not_activated,False,,,,,All status records on the page align with the update,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,seller_delete_product,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_delete_product.js,True,True,False,0,0,oracle_miss,False,,,,,The products list should be equal to initial list minus the delete product,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
prestashop,seller_deliver_order,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_deliver_order.js,True,False,False,0,0,not_activated,False,,,,,All status records on the page align with the update,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,seller_refund_order,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_refund_order.js,True,False,False,0,0,not_activated,False,,,,,All status records on the page align with the update,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
prestashop,seller_ship_order,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/prestashop/bugs/seller_ship_order.js,True,False,False,0,0,not_activated,False,,,,,All status records on the page align with the update,failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Catalog – Discounts (Cart Rules) page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Customer Service page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Shipping – Carriers page loads | failure in non-clean-stable test excluded (failing): backoffice-extended.spec.ts::BO Stats page loads | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
