app,bug_name,bug_path,clean_suite_valid,bug_activated,buggy_suite_passed,candidate_failure_count,behavior_aligned_failure_count,verdict,review_required,alignment_confidence,detecting_test_file,detecting_test_name,failure_message,nl_expectation,notes
bookstack,comment,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/comment.js,True,False,False,0,0,not_activated,False,,,,,"The current comments tree is equal to the initially observed comments tree with the addition of exactly one new comment, and no other structural or content changes",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
bookstack,count_recently_created_books,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/count_recently_created_books.js,True,True,False,0,0,oracle_miss,False,,,,,There exists a 'Recently Created Books' section that is consistent with 'Created Content' counts,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,count_recently_created_chapters,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/count_recently_created_chapters.js,True,True,False,0,0,oracle_miss,False,,,,,There exists a 'Recently Created Chapters' section that is consistent with 'Created Content' counts,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,count_recently_created_pages,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/count_recently_created_pages.js,True,True,False,0,0,oracle_miss,False,,,,,The user's created pages is consistent with the previous 'Created Content' count,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,count_recently_created_shelves,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/count_recently_created_shelves.js,True,True,False,0,0,oracle_miss,False,,,,,There exists a 'Recently Created Shelves' section that is consistent with 'Created Content' counts,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,create_book,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/create_book.js,True,False,False,0,0,not_activated,False,,,,,"Books list (title, description) before and after is consistent with user activities",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
bookstack,create_page,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/create_page.js,True,False,False,0,0,not_activated,False,,,,,The new page should have no comments,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
bookstack,create_sort_rule,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/create_sort_rule.js,True,False,False,1,0,not_activated,False,,,,,Sort rules list before and after is consistent with user's newly created sort rule,"failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end) | 1 clean-stable test(s) failed anyway, unrelated to the fault"
bookstack,delete_book,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/delete_book.js,True,False,False,0,0,not_activated,False,,,,,"The books list before deletion equals the books list after deletion plus exactly the deleted book (title, description).",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
bookstack,favourite_book,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/favourite_book.js,True,True,False,0,0,oracle_miss,False,,,,,"The favourites list is equal to the previous list with exactly one newly favourited item, 'Book2', added",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,favourite_chapter,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/favourite_chapter.js,True,True,False,0,0,oracle_miss,False,,,,,"The favourites list is equal to the previous list with exactly one newly favourited item, 'Chapter 1', added",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,favourite_page,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/favourite_page.js,True,True,False,0,0,oracle_miss,False,,,,,"The favourites list is equal to the previous list with exactly one newly favourited item, 'Page 1', added",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,favourite_page_template,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/favourite_page_template.js,True,True,False,0,0,oracle_miss,False,,,,,"The favourites list is equal to the previous list with exactly one newly favourited item, 'Page Template', added",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recent_activity_all,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recent_activity_all.js,True,True,False,0,0,oracle_miss,False,,,,,The 'Recent Activity' list is in chronological order,failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recent_activity_chapter,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recent_activity_chapter.js,True,True,False,0,0,oracle_miss,False,,,,,"The 'Recent Activity' (user, activity, timestamp data) consistent with the previous dashboard's 'Recent Activity' list",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recent_activity_page,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recent_activity_page.js,True,True,False,0,0,oracle_miss,False,,,,,"The 'Recent Activity' (user, activity, timestamp data) consistent with the previous dashboard's 'Recent Activity' list",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recent_activity_page_template,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recent_activity_page_template.js,True,True,False,0,0,oracle_miss,False,,,,,"The (created user, timestamp data) for 'Page Template' in 'Details' is consistent with the previous dashboard's 'Recent Activity' (user, timestamp) data",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recent_activity_shelf,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recent_activity_shelf.js,True,True,False,0,0,oracle_miss,False,,,,,"The details of the 'Shelf' item in the current 'Recent Activity' list (user, action, and timestamp) are identical to those recorded in the previous dashboard's 'Recent Activity' list",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault activated but no clean-stable generated test failed: the suite exercised the buggy behaviour and accepted it
bookstack,recently_viewed_book,/Users/stephenhe/Projects/WebTestPilot/WebTestPilot/benchmark/bookstack/bugs/recently_viewed_book.js,True,False,False,0,0,not_activated,False,,,,,"The 'Book2' item appears at the top of the ""My Recently Viewed"" list, whether it was already present or newly added. All other items retain their previous order",failure in non-clean-stable test excluded (failing): favourites.spec.ts::toggling favourite on a book adds it to favourites list | fault never satisfied its injection condition; the generated suite did not exercise the triggering scenario (counts as not detected end-to-end)
